molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL467,NC(=O)NO,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format
CHEMBL193474,N/C(S)=N/N=C/c1cccc([N+](=O)[O-])c1,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format
CHEMBL193804,N/C(S)=N/N=C/c1ccc([N+](=O)[O-])cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL191686,C/N=C(/S)N/N=C/c1ccccc1[N+](=O)[O-],500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL195486,C/N=C(/S)N/N=C/c1cccc([N+](=O)[O-])c1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL195459,C/N=C(/S)N/N=C/c1ccc([N+](=O)[O-])cc1,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL24983,O=c1oc(Cl)c(Cl)c2ccccc12,12500.0,nM,IC50,4.90,Toxoplasma gondii,organism-based format
CHEMBL222649,CC(C)C[C@@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,25000.0,nM,IC50,4.60,Toxoplasma gondii,organism-based format
CHEMBL374858,CC(C)C[C@H](/C=C/S(=O)(=O)c1ccccc1)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,12500.0,nM,IC50,4.90,Toxoplasma gondii,organism-based format
CHEMBL224182,CCCCCCCCCCCCc1cc(=O)c2ccccc2n1O,2.4,nM,IC50,8.62,Toxoplasma gondii,organism-based format
CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,9.0,nM,IC50,8.05,Toxoplasma gondii,organism-based format
CHEMBL39581,N#CSCCOc1ccc(Oc2ccccc2)cc1,2800.0,nM,IC50,5.55,Toxoplasma gondii,organism-based format
CHEMBL235669,Fc1ccc(Oc2ccc(OCCOC3CCCCO3)cc2)cc1,6160.0,nM,IC50,5.21,Toxoplasma gondii,organism-based format
CHEMBL238006,Fc1cccc(Oc2ccc(OCCOC3CCCCO3)cc2)c1,3990.0,nM,IC50,5.40,Toxoplasma gondii,organism-based format
CHEMBL397366,N#CSCCOc1ccc(Oc2ccc(F)cc2)cc1,3850.0,nM,IC50,5.42,Toxoplasma gondii,organism-based format
CHEMBL236089,N#CSCCOc1ccc(Oc2cccc(F)c2)cc1,15800.0,nM,IC50,4.80,Toxoplasma gondii,organism-based format
CHEMBL403162,S=C(N/N=C/c1ccccc1)Nc1ccccc1,5000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253845,CC(C)(C)c1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc(C(C)(C)C)c1O,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL436828,COc1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc(OC)c1OC,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL402300,COc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)c(OC)c1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253040,COc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253039,COc1cccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)c1,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL402299,Cc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format
CHEMBL265419,O=C(O)CC1S/C(=N\N=C\c2cccc(Cl)c2)N(c2ccccc2)C1=O,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253107,CN(C)c1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,50000.0,nM,IC50,4.30,Toxoplasma gondii,organism-based format
CHEMBL253106,COc1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)ccc1O,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
