molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL162570,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,6500.0,nM,IC50,5.19,Leishmania infantum,organism-based format
CHEMBL163962,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCOCC1,22800.0,nM,IC50,4.64,Leishmania infantum,organism-based format
CHEMBL165562,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1CCCCC1,5200.0,nM,IC50,5.28,Leishmania infantum,organism-based format
CHEMBL163668,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC12CC3CC(CC(C3)C1)C2,5970.0,nM,IC50,5.22,Leishmania infantum,organism-based format
CHEMBL293638,,32000.0,nM,IC50,4.50,Leishmania infantum,organism-based format
CHEMBL267345,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,6250.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL121434,CN1CCN(C(=O)/C=C/c2ccc3ccccc3n2)CC1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL265502,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL334308,OC(Cc1ccc2ccccc2n1)c1ccc(F)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL121345,O=C(/C=C/c1ccc2ccccc2n1)N1CCCCC1,16000.0,nM,IC50,4.80,Leishmania infantum,organism-based format
CHEMBL121001,COc1ccc(/C=C/c2ccc3ccccc3n2)cc1OC,22000.0,nM,IC50,4.66,Leishmania infantum,organism-based format
CHEMBL121177,O=[N+]([O-])c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL119769,O=[N+]([O-])c1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL120734,CN(C)c1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL124355,COc1ccc(C(O)Cc2ccc3ccccc3n2)cc1OC,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL538157,O=C/C=C/c1ccc2ccccc2n1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format
CHEMBL122675,CN(C)c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL432231,OC(Cc1ccc2ccccc2n1)c1ccco1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL338511,Fc1ccccc1NCc1ccc2ccccc2n1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL121537,O=[N+]([O-])/C=C/c1ccc2ccccc2n1,8000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL121573,Fc1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL120925,COc1cc(NCc2ccc3ccccc3n2)cc(OC)c1OC,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL121196,O=C(/C=C/c1ccc2ccccc2n1)N1CCOCC1,18000.0,nM,IC50,4.75,Leishmania infantum,organism-based format
CHEMBL120356,Br/C=C/c1ccc2ccccc2n1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format
CHEMBL121071,COc1ccc(/C=C/c2ccc3ccccc3n2)c(OC)c1,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL59755,O=C(O)CCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL60505,O=C(O)CC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL61588,O=C(O)CCCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL60144,OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL60093,CC1CCCC2C3CCCC(C)C3(O)OOC12O,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL60487,COC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL60085,O=C(O)CCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL265792,C[C@@H]1OC(O[C@H]2C(O)[C@@H](O)C(CO)O[C@H]2OC2[C@H](O)C(C(=O)O)O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC[C@]46O[C@H](O)[C@]7(C4CC(C)(C)[C@@H](OC(=O)c4ccccc4)[C@@H]7OC(=O)/C=C\c4ccccc4)[C@H](O)C[C@]65C)C3(C)C)[C@H]2O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)C(OC2O[C@@H](C)[C@H](O)C(O)[C@@H]2O)[C@@H](O)C1O,0.018,ug.mL-1,IC50,,Leishmania infantum,organism-based format
