molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL2403415,COC(=O)c1ccc2nc(SCCn3ccnc3)n(C)c2c1,56.9,nM,IC50,7.25,Giardia intestinalis,organism-based format
CHEMBL2403414,COC(=O)c1cc2nc(SCCn3ccnc3)[nH]c2cc1Cl,54.9,nM,IC50,7.26,Giardia intestinalis,organism-based format
CHEMBL2403413,COC(=O)c1ccc2[nH]c(SCCn3ccnc3)nc2c1,77.7,nM,IC50,7.11,Giardia intestinalis,organism-based format
CHEMBL2403412,Cn1c(SCCn2ccnc2)nc2cc(Cl)c(Cl)cc21,68.8,nM,IC50,7.16,Giardia intestinalis,organism-based format
CHEMBL2403411,Cn1c(SCCn2ccnc2)nc2cc(Cl)ccc21,66.6,nM,IC50,7.18,Giardia intestinalis,organism-based format
CHEMBL2403425,Cn1c(SCCn2ccnc2)nc2ccc(Cl)cc21,62.6,nM,IC50,7.20,Giardia intestinalis,organism-based format
CHEMBL2403429,Cn1c(SCCn2ccnc2)nc2ccccc21,87.1,nM,IC50,7.06,Giardia intestinalis,organism-based format
CHEMBL2403428,Clc1cc2nc(SCCn3ccnc3)[nH]c2cc1Cl,76.6,nM,IC50,7.12,Giardia intestinalis,organism-based format
CHEMBL2403427,Clc1ccc2[nH]c(SCCn3ccnc3)nc2c1,80.7,nM,IC50,7.09,Giardia intestinalis,organism-based format
CHEMBL2403426,c1ccc2[nH]c(SCCn3ccnc3)nc2c1,116.7,nM,IC50,6.93,Giardia intestinalis,organism-based format
CHEMBL11608,NCCc1ccc(O)cc1,68.9,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
CHEMBL311498,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,33.9,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
CHEMBL2047366,C[C@]12C[C@H](c3ccoc3)OC(=O)[C@@]1(O)CC[C@@]13COC(=O)C1=CC[C@H]1O[C@]132,86.4,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
CHEMBL2431792,C[C@]12C[C@H](c3ccoc3)OC(=O)[C@H]1CC[C@@]13COC(=O)[C@@H]1C=C[C@@H](O)[C@H]23,71.7,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
CHEMBL2431791,C[C@]12C[C@H](c3ccoc3)OC(=O)[C@@]1(O)CC[C@@]13COC(=O)[C@@H]1C=CC[C@@H]32,42.4,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
CHEMBL2431790,C[C@]12C[C@H](c3ccoc3)OC(=O)[C@@]1(O)CC[C@@]13COC(=O)[C@]1(O)CC=C[C@]23O,82.1,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
