molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1532367,CCOC(=O)CCn1cc(F)c(=O)[nH]c1=O,26.9,nM,IC50,7.57,Schistosoma mansoni,organism-based format,True
CHEMBL4947086,CCCOc1ccc(Nc2cc(C)nc3ccc(Cl)cc23)cc1,2880.0,nM,IC50,5.54,Schistosoma mansoni,organism-based format,True
CHEMBL2109895,Cc1cc(C)c2nc(C)cc(Nc3ccc(O)cc3)c2c1,1230.0,nM,IC50,5.91,Schistosoma mansoni,organism-based format,True
CHEMBL1198307,CCOc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,1550.0,nM,IC50,5.81,Schistosoma mansoni,organism-based format,True
CHEMBL1618874,Cc1ccc(-c2c[n+](-c3ccc(OC(F)F)cc3)c3n2CCCCC3)cc1,891.3,nM,IC50,6.05,Schistosoma mansoni,organism-based format,True
CHEMBL4925021,CCN(CC)CCn1c2ccccc2n2cc(-c3ccc(Br)cc3)nc12,4470.0,nM,IC50,5.35,Schistosoma mansoni,organism-based format,True
CHEMBL4951537,CC[n+]1c(/C=C/N(C)c2ccccc2)oc2ccc(-c3ccccc3)cc21,562.3,nM,IC50,6.25,Schistosoma mansoni,organism-based format,True
CHEMBL4958873,Cc1ccc[n+](Cc2ccc3ccccc3n2)c1,3020.0,nM,IC50,5.52,Schistosoma mansoni,organism-based format,True
CHEMBL4977093,C=C1C(C)C2C(Cc3c[nH]c4ccccc34)NC(=O)C23C(=O)CC(O)C(O)CC(C)C/C=C/C3C1O,1820.0,nM,IC50,5.74,Schistosoma mansoni,organism-based format,True
CHEMBL4947550,Cc1noc(C)c1CN1C[C@@H]2Oc3cc(F)ccc3C(=O)N(C)[C@@H]2C1,724.0,nM,IC50,6.14,Schistosoma mansoni,organism-based format,True
CHEMBL4896445,O=C(N[C@@H]1CN(Cc2ccccn2)CCC[C@H]1O)c1ccc(OCc2ccccc2)cc1,2450.0,nM,IC50,5.61,Schistosoma mansoni,organism-based format,True
CHEMBL4964090,c1ccc(CC2=NCCc3ccccc32)cc1,1290.0,nM,IC50,5.89,Schistosoma mansoni,organism-based format,True
CHEMBL4922693,COc1ccc(C2=CN(CC(=O)c3ccc(Cl)cc3)C3=CCCCCN23)cc1,2950.0,nM,IC50,5.53,Schistosoma mansoni,organism-based format,True
