molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL591890,CCCCc1ccc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)cc1,19027.31,nM,IC50,4.72,Leishmania infantum,organism-based format,True
CHEMBL459199,O=C(Nc1ccc(Br)cc1)Nc1cccc(Cl)c1,10159.99,nM,IC50,4.99,Leishmania infantum,organism-based format,True
CHEMBL590159,CC1CC(C)CN(C(=O)c2ccc(Cl)cc2Cl)C1,17280.96,nM,IC50,4.76,Leishmania infantum,organism-based format,True
CHEMBL317364,CCN(CC)CCNc1ccnc2cc(Cl)ccc12,17280.96,nM,IC50,4.76,Leishmania infantum,organism-based format,True
CHEMBL597248,c1ccc(CNc2nc(Nc3ccccc3)nc3ccccc23)cc1,707.11,nM,IC50,6.15,Leishmania infantum,organism-based format,True
CHEMBL106525,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,4056.99,nM,IC50,5.39,Leishmania infantum,organism-based format,True
CHEMBL494669,Cc1cc(NCCN2CCCCC2)c2ccc3ccccc3c2n1,840.9,nM,IC50,6.08,Leishmania infantum,organism-based format,True
CHEMBL577874,CCN(CC)CCNc1ccnc2cc3ccccc3cc12.O=P(O)(O)O,4320.24,nM,IC50,5.36,Leishmania infantum,organism-based format,True
CHEMBL579105,Cc1cc(Nc2cccc(F)c2)nc(NCc2ccccc2)n1,2573.33,nM,IC50,5.59,Leishmania infantum,organism-based format,True
CHEMBL585264,COc1cc(OC)c(N(C)C(=O)c2cc3c(s2)-c2ccccc2S(=O)(=O)C3)cc1Cl,21534.4,nM,IC50,4.67,Leishmania infantum,organism-based format,True
CHEMBL597855,CCOC(=O)c1ccc2nc(-c3ccccc3)cc(O)c2c1,16227.94,nM,IC50,4.79,Leishmania infantum,organism-based format,True
CHEMBL585622,c1ccc2c(NCCc3c[nH]c4ccccc34)c3ccccc3nc2c1,1189.21,nM,IC50,5.92,Leishmania infantum,organism-based format,True
CHEMBL601122,CCOc1ccc2nc(C)cc(Nc3ccc(Br)cc3)c2c1,4056.99,nM,IC50,5.39,Leishmania infantum,organism-based format,True
