molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1213041,CC(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL318275,Nc1nc2ccc([N+](=O)[O-])cc2s1,51000.0,nM,IC50,4.29,Leishmania infantum,organism-based format,True
CHEMBL1213060,CN(C)c1nc2ccc([N+](=O)[O-])cc2s1,4000.0,nM,IC50,5.40,Leishmania infantum,organism-based format,True
CHEMBL1212942,COc1ccc2nc3ccc(CO)cc3c(Cl)c2c1,183000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1213061,COc1ccc2nc3ccc(COC(=O)c4ccc(Cl)cc4)cc3c(Cl)c2c1,156000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1213062,COC(=O)OCc1ccc2nc3ccc(OC)cc3c(N)c2c1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL1213063,CCN(CC)c1nc2ccc([N+](=O)[O-])cc2s1,99000.0,nM,IC50,4.00,Leishmania infantum,organism-based format,True
CHEMBL1213064,COC(=O)OCc1ccc2nc3ccc(OC)cc3c(Cl)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213087,COc1ccc2nc3ccc(COC(=O)c4ccccc4)cc3c(Cl)c2c1,137000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1213088,CCCC(=O)OCc1ccc2nc3ccc(OC)cc3c(Cl)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213089,COc1ccc(C(=O)OCc2ccc3nc4ccc(OC)cc4c(Cl)c3c2)cc1,125000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1213090,COc1ccc2nc3ccc(COC(=O)c4ccc(Cl)cc4)cc3c(N)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
